Company,Domain,Country,Category
Rivian,rivian.com,United States,Auto & transportation
DJI Innovations,dji.com,China,Hardware
Aurora,aurora.tech,United States,Auto & transportation
Samsara Networks,samsara.com,United States,Hardware
Royole Corporation,royole.com,China,Hardware
United Imaging Healthcare,united-imaging.com,China,Health
Nuro,nuro.ai,United States,Auto & transportation
Magic Leap,magicleap.com,United States,Hardware
Carbon,carbon3d.com,United States,Hardware
Oxford Nanopore Technologies,nanoporetech.com,United Kingdom,Health
Bitmain Technologies,bitmain.com,China,Hardware
Zipline,flyzipline.com,United States,"Supply chain, logistics, & delivery"
Formlabs,formlabs.com,United States,Hardware
CMR Surgical,cmrsurgical.com,United Kingdom,Health
Skydio,skydio.com,United States,Hardware
Cerebras Systems,cerebras.ai,United States,Hardware
Locus Robotics,locusrobotics.com,United States,Hardware
Ola Electric Mobility,olaelectric.com,India,Auto & transportation
Orbbec Technology,orbbec.com,China,Hardware
Infinidat,infinidat.com,United States,Hardware
Promasidor Holdings,promasidor.com,South Africa,Consumer & retail
Oatly,oatly.com,Sweden,Consumer & retail
Impossible Foods,impossiblefoods.com,United States,Consumer & retail
BrewDog,brewdog.com,United Kingdom,Consumer & retail
Glossier,glossier.com,United States,Consumer & retail